date,output_gap,inflation,policy_rate
1985-01-01,-0.482,0.097,1.559
1985-04-01,0.655,0.707,0.816
1985-07-01,-1.381,0.88,0.585
1985-10-01,0.012,1.077,0.979
1986-01-01,-0.676,1.86,0.711
1986-04-01,-0.497,2.116,0.947
1986-07-01,-0.105,1.924,1.586
1986-10-01,-0.533,2.518,1.05
1987-01-01,-0.433,3.071,1.134
1987-04-01,-0.359,1.111,1.942
1987-07-01,-1.454,0.781,2.913
1987-10-01,-0.88,0.623,2.299
1988-01-01,-1.724,0.02,2.091
1988-04-01,-0.15,-0.031,1.125
1988-07-01,0.717,0.753,0.463
1988-10-01,1.786,2.148,-0.395
1989-01-01,1.216,2.504,0.65
1989-04-01,0.908,4.172,1.741
1989-07-01,0.562,3.12,2.929
1989-10-01,1.044,3.47,2.323
1990-01-01,0.715,3.152,2.972
1990-04-01,1.751,3.644,3.454
1990-07-01,0.883,3.962,3.87
1990-10-01,1.311,3.053,5.417
1991-01-01,0.408,3.138,4.959
1991-04-01,-0.235,2.817,4.088
1991-07-01,-0.658,2.846,4.116
1991-10-01,-0.817,2.064,4.076
1992-01-01,0.256,1.988,4.327
1992-04-01,-0.452,1.437,3.691
1992-07-01,-1.364,1.351,3.241
1992-10-01,-0.569,1.433,3.077
1993-01-01,-0.898,0.734,2.407
1993-04-01,-0.638,1.088,1.842
1993-07-01,0.377,1.226,1.093
1993-10-01,-0.103,1.541,1.706
1994-01-01,0.46,1.481,1.987
1994-04-01,-0.091,1.13,1.685
1994-07-01,0.228,2.183,1.531
1994-10-01,0.115,2.343,2.076
1995-01-01,-0.343,1.933,2.776
1995-04-01,0.441,2.444,2.881
1995-07-01,0.082,2.511,2.734
1995-10-01,0.855,2.706,3.318
1996-01-01,1.081,2.977,2.987
1996-04-01,1.2,3.297,3.735
1996-07-01,1.366,2.998,3.115
1996-10-01,1.77,4.01,4.165
1997-01-01,1.789,4.135,4.462
1997-04-01,0.491,4.468,4.414
1997-07-01,-0.071,3.421,5.079
1997-10-01,-0.001,3.3,4.856
1998-01-01,-0.656,2.663,4.348
1998-04-01,-1.636,3.828,4.397
1998-07-01,-2.247,0.99,4.795
1998-10-01,-3.378,1.746,3.266
1999-01-01,-1.808,0.458,2.974
1999-04-01,-2.641,0.445,1.464
1999-07-01,-1.322,0.906,0.773
1999-10-01,-1.902,0.761,1.031
2000-01-01,-2.557,0.105,-0.013
2000-04-01,-2.217,-0.971,-0.616
2000-07-01,-2.5,-1.414,-1.4
2000-10-01,-0.704,-0.674,-1.834
2001-01-01,-0.059,0.214,-2.682
2001-04-01,-0.239,1.311,-1.838
2001-07-01,1.38,1.355,-1.255
2001-10-01,-0.224,1.797,0.139
2002-01-01,0.04,2.992,-0.109
2002-04-01,-0.738,2.468,1.224
2002-07-01,-0.905,2.555,1.868
2002-10-01,-2.248,0.819,1.721
2003-01-01,-1.13,1.293,1.221
2003-04-01,-0.203,1.561,1.462
2003-07-01,-0.854,2.452,0.968
2003-10-01,-1.252,1.337,1.055
2004-01-01,-1.156,1.579,2.308
2004-04-01,-0.588,1.34,1.354
2004-07-01,0.55,1.633,2.286
2004-10-01,1.562,2.608,1.319
2005-01-01,1.43,2.982,1.567
2005-04-01,-0.183,2.511,1.775
2005-07-01,-1.449,1.285,2.483
2005-10-01,-1.16,3.067,2.07
2006-01-01,-0.706,2.112,1.849
2006-04-01,-1.446,1.474,2.32
2006-07-01,-0.388,1.542,2.36
2006-10-01,-0.486,0.29,1.416
2007-01-01,2.204,1.931,0.825
2007-04-01,1.388,3.165,0.501
2007-07-01,2.477,4.273,2.511
2007-10-01,2.778,3.721,3.492
2008-01-01,2.714,4.818,3.291
2008-04-01,1.574,3.982,3.519
2008-07-01,1.701,4.863,4.767
2008-10-01,0.417,4.976,5.189
2009-01-01,-0.947,4.037,5.733
2009-04-01,-1.289,3.315,6.123
2009-07-01,-0.433,2.799,5.221
2009-10-01,-1.983,1.568,4.937
2010-01-01,-1.879,2.63,3.714
2010-04-01,-1.752,1.052,3.532
2010-07-01,-1.089,0.999,3.537
2010-10-01,-2.105,1.79,2.688
2011-01-01,-1.522,0.616,2.568
2011-04-01,-1.317,1.686,2.225
2011-07-01,-2.222,1.098,2.519
2011-10-01,-3.115,0.311,2.399
2012-01-01,-2.813,-0.584,2.286
2012-04-01,-1.518,0.318,1.201
2012-07-01,-1.299,0.177,0.109
2012-10-01,-0.709,-0.335,0.271
